Tanggal,Judul,Isi Berita,Narasi,Clean Narasi,hoax
2-Jan-24,RETAKAN' DI DINDING TWIN TUNNEL TOL CISUMDAWU TERNYATA KOTORAN LABA-LABA,Misleading content,Beredar kabar gempa M4.8 di Sumedang mengakibatkan dinding twin tunnel atau terowongan kembar Tol Cisumdawu mengalami keretakan.,Beredar kabar gempa M4.8 di Sumedang mengakibatkan dinding twin tunnel Tol Cisumdawu mengalami keretakan.,1
2-Jan-24,CADASPANGERAN LONGSOR AKIBAT GEMPA BUMI M4.8 SUMEDANG,False Context,"Beredar pesan berantai di media sosial whatsapp dengan narasi ""Ya Allah doa terus, Cadas Pangeran longsor"" dan sudah ramai dilihat masyarakat lantaran cepatnya penyebaran berantai di grup-grup keluarga maupun story media sosial.","Beredar pesan berantai di WhatsApp dengan narasi ""Cadas Pangeran longsor"" akibat gempa M4.8 Sumedang.",1
2-Jan-24,GEMPA SUSULAN DI SUMEDANG BERKEKUATAN 7.0 SKALA RICHTER,Misleading content,Beredar story WhatsApp yang mengabarkan akan ada gempa susulan di Sumedang berkekuatan 7.0 Skala Richter menurut penelitian BMKG.,Beredar story WhatsApp yang mengabarkan akan ada gempa susulan di Sumedang berkekuatan 7.0 Skala Richter menurut penelitian BMKG.,1
2-Jan-24,"GEMPA SUSULAN BERPUSAT DI NYALINDUNG, CITIMUN KECAMATAN CIMALAKA, SUMEDANG.",Misleading content,Beredar story WhatsApp yang mengabarkan akan ada gempa susulan berpusat di Nyalindung Citimun Kecamatan Cimalaka.,Beredar story WhatsApp yang mengabarkan akan ada gempa susulan berpusat di Nyalindung Citimun Kecamatan Cimalaka.,1
3-Jan-24,"MATA AIR CIPANAS CILEUNGSING, BUAH DUA, KABUPATEN SUMEDANG SURUT TANDA DARI ERUPSI GUNUNG TAMPOMAS",Misleading content,"Beredar berita bahwa mata air Cipanas Cileungsing, Buah Dua Kabupaten Sumedang yang surut merupakan tanda-tanda erupsi gunung Tampomas.","Beredar berita bahwa mata air Cipanas Cileungsing, Buah Dua, Sumedang yang surut merupakan tanda-tanda erupsi Gunung Tampomas.",1
5-Jan-24,PERKIRAAN GEMPA SUSULAN YANG LEBIH BESAR DI SUMEDANG DENGAN WAKTU YANG BELUM DITENTUKAN,Misleading content,Beredar tangkapan layar percakapan di WhatsApp yang membicarakan tentang hasil rapat BPBD di RSUD Sumedang menyimpulkan bahwa akan adanya gempa susulan lebih besar daripada yang sebelumnya.,Beredar tangkapan layar percakapan WhatsApp yang mengklaim hasil rapat BPBD di RSUD Sumedang menyimpulkan akan ada gempa susulan yang lebih besar.,1
15-Feb-24,HATI-HATI PENIPUAN MENGATASNAMAKAN Roy Andika Kasi Pidsus Kejari Sumedang,Hati-hati Penipuan,"Beredar sebuah akun WhatsApp yang mengaku sebagai Kasi Pidsus Kejari Sumedang, Roy Andika. Akun tersebut diketahui telah menghubungi beberapa pihak di wilayah Sumedang, serta masyarakat Sumedang. Namun setelah ditelusuri lebih lanjut, diketahui jika akun tersebut bukan milik Kasi Pidsus Kejari Sumedang.","Beredar penipuan yang mengatasnamakan Roy Andika, Kasi Pidsus Kejari Sumedang.",1
2-Apr-24,"HATI-HATI PENIPUAN MENGATASNAMAKAN SYARIF EFFENDI BADAR, S.Sos. MSi Kepala Satuan Polisi Pamong Praja",Hati-hati Penipuan,Beredar sebuah nomor WhatsApp yang mengatasnamakan Kasatpol PP Sumedang Syarif Effendi Badar. Akun tersebut memasang nama dan foto Syarif dan menghubungi lewat telepon beberapa pengguna WhatsApp menagih uang operasional anggota yang kelapangan dan meminta uang rekomendasi. Sumedang Saber Hoaks turut mengimbau masyarakat agar berhati-hati apabila menerima pesan serupa nantinya.,"Beredar nomor WhatsApp mengatasnamakan Kasatpol PP Sumedang Syarif Effendi Badar, menagih uang operasional anggota atau meminta uang rekomendasi. Masyarakat diimbau berhati-hati.",1
17-Apr-24,DISDUK CAPIL SUMEDANG OPEN DONASI TEBUS MURAH UNTUK BANTUAN NAGARA,Misleading content,Beredar postingan di Instagram Disduk Capil Sumedang yang mengiklankan Open Donasi Tebus Murah untuk Bantuan Nagara.,Beredar postingan di Instagram Disduk Capil Sumedang yang mengiklankan Open Donasi Tebus Murah untuk Bantuan Nagara.,1
23-Apr-24,"HATI-HATI PENIPUAN MENGATASNAMAKAN Drs. H. Yudia Ramli., M.Si Pj Bupati Sumedang",Hati-hati Penipuan,Apabila ada Oknum yang Mengirimkan Pesan Melalui Akun Facebook dan WhatsApp Mengatasnamakan Pj Bupati Sumedang dengan Modus meminta Nomor Rekening Lembaga/Perorangan Serta Memberikan Janji Bantuan Donasi Maupun Lain. Sumedang Saber Hoaks turut mengingatkan masyarakat agar berhati-hati apabila menerima pesan serupa nantinya.,"Beredar pesan melalui Facebook dan WhatsApp mengatasnamakan Pj Bupati Sumedang, Drs. H. Yudia Ramli., M.Si, dengan modus meminta nomor rekening atau menjanjikan bantuan/donasi.",1
22-May-24,"HATI-HATI PENIPUAN MENGATASNAMAKAN Drs. H. Yudia Ramli., M.Si Pj Bupati Sumedang",Hati-hati Penipuan,"Muncul Postingan Giveaway di akun pj_bupati_sumedang yang menawarkan unit IPhone 15 Promax, tetapi telah dikonfirmasi bahwa akun resmi Pj Bupati Sumedang tersebut telah di hack oleh pihak yang tidak bertanggung jawab.","Beredar penipuan yang mengatasnamakan Pj Bupati Sumedang, Drs. H. Yudia Ramli., M.Si.",1
4-Sep-24,IBU IDA DAYAK DATANG KE SUMEDANG BUKA PENDAFTARAN UNTUK PENGOBATAN,Imposter content,"Beredar postingan/infografis di sosial media yang menginformasikan akan datangnya Ibu Dayak ke Gedung Negara di Sumedang, dan membuka pendaftaran untuk Tanggal 5 sampai 6 September.",Beredar kabar bahwa Ibu Ida Dayak datang ke Sumedang dan membuka pendaftaran untuk pengobatan.,1
5-Oct-24,Jubir Baru KPK Tessa Mahardhika Ditunjuk Pimpin Rapat Geng Negara Maju (dugaan korupsi Bupati Bandung dan Sumedang),Misleading content,"Beredar informasi hoaks terkait dugaan tindak pidana korupsi Bupati Bandung dan Sumedang pada 4 Oktober 2024 yang didalami oleh KPK. Faktanya, juru bicara KPK yang benar Tessa Mahardhika Sugiarta tidak pernah memberikan pernyataan terkait dugaan tersebut. Sebaliknya, informasi yang benar adalah berita yang berasal dari CNBC Indonesia pada 14 Juni 2024, di mana Tessa ditunjuk sebagai Co-Chair dalam rapat penting terkait pemberantasan korupsi di tingkat global bukan dugaan kasus korupsi lokal.","Beredar informasi hoaks bahwa Jubir KPK Tessa Mahardhika menunjuk rapat mendalami dugaan korupsi Bupati Bandung dan Sumedang (4 Okt 2024). Faktanya, Tessa ditunjuk sebagai Co-Chair rapat pemberantasan korupsi global (14 Jun 2024).",1
24-Oct-24,MOBIL BERPLAT MERAH IKUT KAMPANYE,Misleading content,"Video yang beredar menyebutkan bahwa mobil plat merah milik DPPKBP3A Sumedang terlibat dalam kampanye. Kepala Bidang Pemberdayaan Perempuan dan Perlindungan Anak pada DPPKBP3A Sumedang Ekki Riswandiyah menegaskan, jika video viral mobil dinas dipakai kampanye itu tidak benar adanya atau berita hoax. Mobil yang plat merah yang ada dalam video itu dipakai oleh tim konselor Puspaga (Pusat pembelajaran keluarga).",Video beredar yang mengklaim mobil dinas plat merah milik DPPKBP3A Sumedang terlibat kampanye adalah hoaks. Mobil tersebut dipakai oleh tim konselor Puspaga (Pusat Pembelajaran Keluarga).,1
23-Nov-24,"HATI-HATI PENIPUAN MENGATASNAMAKAN Hj. Tuti Ruswati, S.Sos., M.Si. Sekretaris Daerah Kabupaten Sumedang",Hati-hati Penipuan,"Beredar akun WhatsApp bernomor +62 852 1008 4436 mengatasnamakan Sekda Kabupaten Sumedang. Akun tersebut memasang foto Tuti sebagai foto profilnya dan menghubungi pengguna WhatsApp menanyakan beberapa hal tentang donasi. Faktanya akun tersebut palsu. Akun asli Sekda Sumedang, dari @official.sekdasmd menjelaskan akun WhatsApp tersebut adalah penipuan. Kami berpesan kepada masyarakat agar berhati-hati dan mengabaikan jika menerima pesan dan meminta mentransfer dana atau apapun.","Beredar akun WhatsApp mengatasnamakan Sekda Sumedang Hj. Tuti Ruswati, S.Sos., M.Si. yang meminta donasi. Akun tersebut palsu dan merupakan penipuan.",1
18-Jan-25,"HATI-HATI PENIPUAN MENGATASNAMAKAN BAMBANG RIANTO, S.STP, M.Si. Kepala Diskominfosanditik Kab Sumedang",Hati-hati Penipuan,Beredar akun WhatsApp bernomor +62 813-1532-2799 mengatasnamakan Kabid Informasi Komunikasi Publik Diskominfosanditik Sumedang. Akun tersebut memasang infografis sebagai foto profilnya dan menghubungi pengguna WhatsApp. Setelah dikonfirmasi oleh Pak Erick Febriana sendiri bahwa nomor WhatsApp tersebut bukan miliknya. Kami berpesan kepada masyarakat agar berhati-hati dan mengabaikan jika menerima pesan dan meminta mentransfer dana atau apapun.,"Beredar penipuan yang mengatasnamakan Bambang Rianto, S.STP, M.Si., Kepala Diskominfosanditik Sumedang.",1
19-Jan-25,"HATI-HATI PENIPUAN MENGATASNAMAKAN ERICK FEBRIANA, S.Sn. Kabid Informasi Komunikasi Publik Diskominfosanditik Kab. Sumedang.",Hati-hati Penipuan,Beredar akun WhatsApp bernomor +62 813-1532-2799 mengatasnamakan Kabid Informasi Komunikasi Publik Diskominfosanditik Sumedang. Akun tersebut memasang infografis sebagai foto profilnya dan menghubungi pengguna WhatsApp. Setelah dikonfirmasi oleh Pak Erick Febriana sendiri bahwa nomor WhatsApp tersebut bukan miliknya. Kami berpesan kepada masyarakat agar berhati-hati dan mengabaikan jika menerima pesan dan meminta mentransfer dana atau lainnya.,"Beredar akun WhatsApp mengatasnamakan Kabid Informasi Komunikasi Publik Diskominfosanditik, Erick Febriana, S.Sn., yang meminta transfer dana. Nomor tersebut bukan miliknya dan merupakan penipuan.",1
24-May-25,PMI SUMEDANG GALANG TEBUS MURAH 2 IPHONE 15 PRO,Imposter content,"Beredar sebuah unggahan di media sosial Instagram official @pmisumedang yang mengeklaim adanya ""SPESIAL EVENT PROGRAM PENGGALANGAN TEBUS MURAH 2 UNIT NEW IPHONE 15 PRO 256 GB GARANSI RESMI TAM"". Cek Fakta: Setelah dilakukan konfirmasi langsung dengan PMI Kabupaten Sumedang, diketahui bahwa akun Instagram resmi mereka telah diretas oleh pihak yang tidak bertanggung jawab. Sehubungan dengan hal tersebut, PMI Sumedang mengimbau kepada masyarakat agar berhati-hati.","Akun Instagram resmi @pmisumedang diretas dan mengunggah klaim galang dana ""TEBUS MURAH 2 UNIT NEW IPHONE 15 PRO"". PMI Sumedang mengonfirmasi unggahan tersebut adalah hoaks/penipuan.",1
26-Jun-25,"HATI-HATI PENIPUAN MENGATASNAMAKAN M. FAJAR ALDILA, S.H., M.Kn. Wakil Bupati Sumedang",Hati-hati Penipuan,Akun WhatsApp dengan nomor 0899-9412-7060 yang mengatasnamakan Wakil Bupati Sumedang Bapak Fajar Aldila adalah hoaks atau modus penipuan. Setelah konfirmasi dengan Protokol Pemda Sumedang bahwa pesan tersebut bukan dari Bapak Wakil Bupati Sumedang dan merupakan modus penipuan. Kami meminta kepada masyarakat yang mendapatkan pesan serupa untuk mengabaikannya dan diharapkan agar mengonfirmasi terlebih dahulu.,"Beredar akun WhatsApp mengatasnamakan Wakil Bupati Sumedang, M. Fajar Aldila, S.H., M.Kn., yang meminta transfer dana. Protokol Pemda Sumedang mengonfirmasi itu adalah hoaks/penipuan.",1
2-Jul-25,"HATI-HATI PENIPUAN MENGATASNAMAKAN M. FAJAR ALDILA, S.H., M.Kn. Wakil Bupati Sumedang",Hati-hati Penipuan,"Sedang ramai Akun WhatsApp yang mengatasnamakan Wakil Bupati Sumedang Bapak Fajar Aldila. Hal tersebut adalah hoaks atau modus penipuan. Setelah konfirmasi dengan Protokol Pemda Sumedang, bahwa pesan tersebut bukan dari Bapak Wakil Bupati Sumedang dan merupakan modus penipuan. Kami meminta kepada masyarakat yang mendapatkan pesan serupa untuk mengabaikannya dan diharapkan agar mengonfirmasi terlebih dahulu.","Beredar ramai akun WhatsApp yang mengatasnamakan Wakil Bupati Sumedang, M. Fajar Aldila, S.H., M.Kn.. Protokol Pemda Sumedang mengonfirmasi itu adalah hoaks/penipuan.",1
15-Aug-25,"HATI-HATI PENIPUAN MENGATASNAMAKAN Dr. H. Dony Ahmad Munir, ST., MM. Bupati Sumedang",Hati-hati Penipuan,Akun WhatsApp dengan nomor 0856-7611-179 yang mengatasnamakan Bupati Sumedang Bapak Dony Ahmad Munir adalah hoaks atau modus penipuan. Setelah konfirmasi dengan Protokol Pemda Sumedang bahwa pesan tersebut bukan dari Bapak Bupati Sumedang dan merupakan modus penipuan. Kami meminta kepada masyarakat yang mendapatkan pesan serupa untuk mengabaikannya dan diharapkan agar mengonfirmasi terlebih dahulu.,"Beredar akun WhatsApp mengatasnamakan Bupati Sumedang, Dr. H. Dony Ahmad Munir, ST., MM., yang meminta transfer dana. Protokol Pemda Sumedang mengonfirmasi itu adalah hoaks/penipuan.",1
11-Sep-25,"HATI-HATI PENIPUAN MENGATASNAMAKAN Dr. H. Dony Ahmad Munir, ST., MM. Bupati Sumedang",Hati-hati Penipuan,Akun WhatsApp dengan nomor 0821-7777-3860 yang mengatasnamakan Bupati Sumedang Bapak Dony Ahmad Munir adalah hoaks atau modus penipuan. Setelah konfirmasi dengan Protokol Pemda Sumedang bahwa pesan tersebut bukan dari Bapak Bupati Sumedang dan merupakan modus penipuan. Kami meminta kepada masyarakat yang mendapatkan pesan serupa untuk mengabaikannya dan diharapkan agar mengonfirmasi terlebih dahulu.,"Beredar akun WhatsApp mengatasnamakan Bupati Sumedang, Dr. H. Dony Ahmad Munir, ST., MM. Protokol Pemda Sumedang mengonfirmasi itu adalah hoaks/penipuan.",1
21-Jan-25,Usai Dilantik Dony Fajar Tancap Gas Wujudkan Sumedang Lebih Maju,Pemerintahan,"Dony Ahmad Munir dan M. Fajar Aldila, yang baru dilantik, langsung berkomitmen mewujudkan Sumedang yang lebih maju.","Dony Ahmad Munir dan M. Fajar Aldila, yang baru dilantik, langsung berkomitmen mewujudkan Sumedang yang lebih maju.",0
13-Jan-25,"Sumedang Jadi Daerah Paling Sering Disambar Petir di Jawa Barat 2024, Ini Data BMKG",Informasi Publik/Bencana,Informasi resmi dari BMKG mengenai data frekuensi sambaran petir di Sumedang sepanjang tahun 2024.,Informasi resmi dari BMKG mengenai data frekuensi sambaran petir di Sumedang sepanjang tahun 2024.,0
10-Jan-25,Bupati dan Wakil Bupati Sumedang Periode 2025-2030 Resmi Dilantik,Pemerintahan,Berita resmi mengenai pelantikan Pasangan Calon Bupati dan Wakil Bupati Sumedang Terpilih.,Berita resmi mengenai pelantikan Pasangan Calon Bupati dan Wakil Bupati Sumedang Terpilih.,0
8-Jan-25,"Kembali Pimpin Sumedang, Dony Ahmad Munir Siap Bawa Sumedang Lebih Melesat",Pemerintahan,Pernyataan resmi Bupati terpilih mengenai visi dan kesiapan melanjutkan kepemimpinan untuk kemajuan Sumedang.,Pernyataan resmi Bupati terpilih mengenai visi dan kesiapan melanjutkan kepemimpinan untuk kemajuan Sumedang.,0
31 Dec 2024,Pemkab Sumedang Siapkan Langkah Strategis Hadapi Ramadhan,Pemerintahan/Keamanan,Pemerintah Kabupaten Sumedang bersama Polres dan Satpol PP menyiapkan patroli untuk mencegah potensi kerusuhan dan menjaga ketentraman masyarakat menjelang Ramadhan.,Pemerintah Kabupaten Sumedang bersama Polres dan Satpol PP menyiapkan patroli untuk mencegah potensi kerusuhan dan menjaga ketentraman masyarakat menjelang Ramadhan.,0
9-Jan-25,PENETAPAN PASLON BUPATI DAN WAKIL BUPATI SUMEDANG TERPILIH DALAM PILBUP SUMEDANG TAHUN 2024,Politik/KPU,"KPU Kabupaten Sumedang menetapkan Pasangan Calon Dony Ahmad Munir dan M. Fajar Aldila sebagai Bupati dan Wakil Bupati Sumedang Terpilih 2024 dengan perolehan suara sah sebanyak 313.117 suara (49,49%).","KPU Kabupaten Sumedang menetapkan Pasangan Calon Dony Ahmad Munir dan M. Fajar Aldila sebagai Bupati dan Wakil Bupati Sumedang Terpilih 2024 dengan perolehan suara sah sebanyak 313.117 suara (49,49%).",0
28-Dec-24,Puluhan Desa di Sumedang Berhasil Torehkan Prestasi di Tahun 2024,Pemerintahan Desa,Kepala DPMD Kabupaten Sumedang Asep Aan Dahlan memimpin Rapat Koordinasi Penyelenggaraan Pemerintah Desa terkait prestasi desa-desa sepanjang tahun 2024.,Kepala DPMD Kabupaten Sumedang Asep Aan Dahlan memimpin Rapat Koordinasi Penyelenggaraan Pemerintah Desa terkait prestasi desa-desa sepanjang tahun 2024.,0
15-Nov-24,Pemkab Sumedang raih penghargaan 'Kabupaten Informatif' di KIP 2024,Prestasi Daerah,Pj Bupati Yudia Ramli menegaskan komitmen untuk keterbukaan informasi publik setelah Kabupaten Sumedang meraih penghargaan Kabupaten Informatif pada Anugerah KIP 2024.,Pj Bupati Yudia Ramli menegaskan komitmen untuk keterbukaan informasi publik setelah Kabupaten Sumedang meraih penghargaan Kabupaten Informatif pada Anugerah KIP 2024.,0
17-Dec-24,8 Peristiwa Besar di Sumedang yang Bikin Geger Sepanjang 2024,Bencana/Peristiwa,"Laporan mengenai 8 kejadian besar yang menjadi perhatian publik sepanjang 2024, termasuk Angin Puting Beliung di Jatinangor (21/2/2024) dan Kebakaran Pabrik Tekstil Raksasa (29/2/2024).","Laporan mengenai 8 kejadian besar yang menjadi perhatian publik sepanjang 2024, termasuk Angin Puting Beliung di Jatinangor (21/2/2024) dan Kebakaran Pabrik Tekstil Raksasa (29/2/2024).",0
27-Nov-24,QC SRC: Paslon Dony-Fajar Unggul 51 Persen di Pilbup Sumedang,Politik/Quick Count,Pengumuman hasil Quick Count (QC) resmi oleh SRC dan Tim Internal Paslon Dony-Fajar yang menunjukkan keunggulan 51% perolehan suara di Pilbup Sumedang (Catatan: Hasil resmi tetap oleh KPU).,Pengumuman hasil Quick Count (QC) resmi oleh SRC dan Tim Internal Paslon Dony-Fajar yang menunjukkan keunggulan 51% perolehan suara di Pilbup Sumedang.,0
4-Oct-24,Sosialisasi Pengelolaan Sampah di Sekolah,Lingkungan Hidup,DLH Kabupaten Sumedang mengadakan sosialisasi pengelolaan sampah di SMA Santo Thomas 1 untuk meningkatkan kesadaran siswa.,DLH Kabupaten Sumedang mengadakan sosialisasi pengelolaan sampah di SMA Santo Thomas 1 untuk meningkatkan kesadaran siswa.,0
5-Jul-24,Peraturan Bupati (Perbup) Kabupaten Sumedang Nomor 26 Tahun 2024 tentang Rencana Kerja Pemerintah Daerah Kabupaten Sumedang Tahun 2025,Regulasi Daerah,"Peraturan resmi Bupati yang mengatur tentang kedudukan, ruang lingkup, sasaran, prioritas, rencana kerja, dan pendanaan RKPD Tahun 2025.",Peraturan resmi Bupati Kabupaten Sumedang Nomor 26 Tahun 2024 tentang Rencana Kerja Pemerintah Daerah Kabupaten Sumedang Tahun 2025.,0
14-Nov-25,"Sumedang Dapat Kuota Haji 74 Orang di 2026, Sistem Baru Berdampak pada Masa Tunggu 26 Tahun",Agama/Haji,Laporan resmi mengenai kuota haji Sumedang untuk tahun 2026 dan dampak sistem baru pada masa tunggu.,Laporan resmi mengenai kuota haji Sumedang untuk tahun 2026 dan dampak sistem baru pada masa tunggu (26 tahun).,0
14-Nov-25,Pemda Sumedang Siap Berkolaborasi Wujudkan Kampung Budaya Sumedang Larang,Budaya,Rencana Pemda Sumedang untuk berkolaborasi dan mendukung terwujudnya Kampung Budaya Sumedang Larang.,Pemda Sumedang menyatakan siap berkolaborasi dan mendukung terwujudnya Kampung Budaya Sumedang Larang.,0
15-Nov-25,Sumedang Masuk 5 Besar West Java Investment Summit 2025: Integrasi Padi Organik Berbasis Ekonomi Sirkuler,Prestasi Daerah/Ekonomi,Kabupaten Sumedang meraih prestasi membanggakan di West Java Investment Summit 2025 berkat integrasi padi organik.,Kabupaten Sumedang meraih prestasi di West Java Investment Summit 2025 berkat integrasi padi organik Berbasis Ekonomi Sirkuler.,0
1-Oct-25,Sumedang Gelar Upacara Hari Kesaktian Pancasila 2025: Satyalancana dan SK Pangkat Diserahkan,Pemerintahan/Upacara,Pemerintah Daerah Kabupaten Sumedang menggelar Upacara Peringatan Hari Kesaktian Pancasila di Lapangan Pusat Pemerintahan Sumedang (PPS).,Pemerintah Daerah Kabupaten Sumedang menggelar Upacara Peringatan Hari Kesaktian Pancasila 2025 di Lapangan PPS.,0
10-Oct-25,Juara Jawa-Bali: Sumedang Sabet TPAKD Award 2025!,Prestasi Daerah/Ekonomi,Kabupaten Sumedang kembali meraih penghargaan TPAKD Award 2025 sebagai TPAKD Terbaik Tingkat Kabupaten/Kota Wilayah Jawa-Bali.,Kabupaten Sumedang meraih penghargaan TPAKD Award 2025 sebagai TPAKD Terbaik Tingkat Kabupaten/Kota Wilayah Jawa-Bali.,0
23-Oct-25,Raperda APBD 2026 Kabupaten Sumedang Resmi Dibahas di Rapat Paripurna DPRD,Legislatif,DPRD Kabupaten Sumedang menggelar Rapat Paripurna dalam rangka penyampaian Nota Legislatif Raperda APBD 2026.,DPRD Kabupaten Sumedang membahas Raperda APBD 2026 dalam Rapat Paripurna.,0
29-Sep-25,Setwan Sumedang Raih Penghargaan JDIH Jawa Barat 2025 Kategori Peningkatan Kinerja,Prestasi Daerah,Sekretariat DPRD (Setwan) Kabupaten Sumedang meraih penghargaan Kategori Anggota Jaringan Dokumentasi dan Informasi Hukum (JDIH) Jawa Barat 2025.,Sekretariat DPRD (Setwan) Kabupaten Sumedang meraih penghargaan JDIH Jawa Barat 2025 Kategori Peningkatan Kinerja.,0
